Charm++> Running on Gemini (GNI) with 66 processes
Charm++> static SMSG
Charm++> SMSG memory: 325.9KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 66,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 8 9 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 3 BY 6 BY 8
Redirecting stdout to files output_000/0/job0.0.log through 32
EXCHANGE_ACCEPT 15 (15) 16 (16) RUN 53
EXCHANGE_ACCEPT 10 (11) 11 (12) RUN 54
EXCHANGE_ACCEPT 16 (15) 17 (19) RUN 54
EXCHANGE_ACCEPT 31 (30) 32 (31) RUN 55
EXCHANGE_ACCEPT 5 (8) 6 (4) RUN 55
EXCHANGE_ACCEPT 21 (22) 22 (20) RUN 55
EXCHANGE_ACCEPT 23 (17) 24 (24) RUN 55
EXCHANGE_ACCEPT 19 (23) 20 (21) RUN 55
EXCHANGE_ACCEPT 2 (0) 3 (1) RUN 56
EXCHANGE_ACCEPT 22 (22) 23 (24) RUN 56
EXCHANGE_ACCEPT 20 (23) 21 (20) RUN 56
EXCHANGE_ACCEPT 19 (21) 20 (20) RUN 57
EXCHANGE_ACCEPT 20 (21) 21 (23) RUN 58
EXCHANGE_ACCEPT 5 (4) 6 (8) RUN 59
EXCHANGE_ACCEPT 21 (21) 22 (24) RUN 59
EXCHANGE_ACCEPT 9 (10) 10 (12) RUN 59
EXCHANGE_ACCEPT 17 (15) 18 (18) RUN 59
EXCHANGE_ACCEPT 20 (23) 21 (24) RUN 60
EXCHANGE_ACCEPT 19 (20) 20 (24) RUN 61
EXCHANGE_ACCEPT 0 (2) 1 (3) RUN 62
EXCHANGE_ACCEPT 20 (20) 21 (23) RUN 62
EXCHANGE_ACCEPT 29 (29) 30 (32) RUN 63
EXCHANGE_ACCEPT 21 (20) 22 (21) RUN 63
EXCHANGE_ACCEPT 19 (24) 20 (23) RUN 63
EXCHANGE_ACCEPT 0 (3) 1 (2) RUN 64
EXCHANGE_ACCEPT 4 (5) 5 (8) RUN 64
EXCHANGE_ACCEPT 31 (31) 32 (30) RUN 65
EXCHANGE_ACCEPT 19 (23) 20 (24) RUN 65
EXCHANGE_ACCEPT 11 (11) 12 (9) RUN 65
EXCHANGE_ACCEPT 0 (2) 1 (3) RUN 66
EXCHANGE_ACCEPT 20 (23) 21 (21) RUN 66
EXCHANGE_ACCEPT 31 (30) 32 (31) RUN 67
EXCHANGE_ACCEPT 21 (23) 22 (20) RUN 67
EXCHANGE_ACCEPT 15 (16) 16 (19) RUN 67
EXCHANGE_ACCEPT 0 (3) 1 (2) RUN 68
EXCHANGE_ACCEPT 6 (4) 7 (6) RUN 68
EXCHANGE_ACCEPT 20 (21) 21 (20) RUN 68
EXCHANGE_ACCEPT 27 (28) 28 (27) RUN 69
EXCHANGE_ACCEPT 25 (25) 26 (26) RUN 69
EXCHANGE_ACCEPT 21 (21) 22 (23) RUN 69
EXCHANGE_ACCEPT 0 (2) 1 (3) RUN 70
EXCHANGE_ACCEPT 20 (20) 21 (23) RUN 70
EXCHANGE_ACCEPT 13 (13) 14 (14) RUN 71
EXCHANGE_ACCEPT 29 (32) 30 (29) RUN 73
EXCHANGE_ACCEPT 11 (9) 12 (11) RUN 73
EXCHANGE_ACCEPT 0 (3) 1 (2) RUN 74
EXCHANGE_ACCEPT 6 (6) 7 (4) RUN 74
EXCHANGE_ACCEPT 20 (23) 21 (20) RUN 74
EXCHANGE_ACCEPT 21 (23) 22 (21) RUN 75
EXCHANGE_ACCEPT 8 (7) 9 (12) RUN 76
EXCHANGE_ACCEPT 20 (20) 21 (21) RUN 76
EXCHANGE_ACCEPT 14 (13) 15 (19) RUN 76
EXCHANGE_ACCEPT 21 (20) 22 (23) RUN 77
EXCHANGE_ACCEPT 19 (24) 20 (21) RUN 77
EXCHANGE_ACCEPT 4 (8) 5 (5) RUN 78
EXCHANGE_ACCEPT 19 (21) 20 (24) RUN 79
EXCHANGE_ACCEPT 26 (25) 27 (27) RUN 80
EXCHANGE_ACCEPT 20 (21) 21 (23) RUN 80
EXCHANGE_ACCEPT 31 (31) 32 (30) RUN 81
EXCHANGE_ACCEPT 30 (32) 31 (30) RUN 82
EXCHANGE_ACCEPT 0 (2) 1 (3) RUN 82
EXCHANGE_ACCEPT 20 (23) 21 (21) RUN 82
EXCHANGE_ACCEPT 25 (26) 26 (27) RUN 83
EXCHANGE_ACCEPT 23 (22) 24 (17) RUN 83
EXCHANGE_ACCEPT 21 (23) 22 (20) RUN 83
